record_id,confidence,action,is_gt
AALA202509279225,0.4,no_action,False
AALA202511104132,0.4,no_action,False
VNAA202504170052,0.3,no_action,False
AALA202511214931,0.5,no_action,False
AALA202508076314,0.5,no_action,False
AALA202508012249,0.55,no_action,False
VNAA20250320033,0.3,no_action,False
AALA202509178765,0.3,no_action,False
AALA202510029202,0.4,no_action,False
AALA202601149757,0.65,no_action,False
AALA202501188151,0.3,no_action,False
AALA202508050360,0.55,no_action,False
AALA202601143082,0.65,no_action,False
AALA202507085307,0.5,no_action,False
AALA202506182534,0.65,no_action,False
AALA202501240507,0.5,supersedes,False
AALA202503172883,0.5,no_action,False
AALA202502060099,0.3,no_action,False
AALA202511105152,0.55,no_action,False
AALA202508313641,0.4,no_action,False
AALA202601146352,0.65,no_action,False
AALA202507316684,0.5,no_action,False
AALA202511219112,0.5,no_action,False
AALA202510275870,0.5,no_action,False
AALA202502149234,0.5,no_action,False
SWIA2025111676523,0.3,no_action,False
AALA202508011236,0.15,no_action,False
AALA202504140391,0.5,no_action,False
DALA2025072805634,0.3,no_action,False
SWIA2025111576508,0.5,no_action,False
AALA202510076932,0.5,no_action,False
SWIA2025113076536,0.3,no_action,False
AALA202505055759,0.5,no_action,False
VNAA20250320045,0.15,no_action,False
AALA202504257758,0.4,no_action,False
DALA2025072805629,0.3,no_action,False
AALA202511268745,0.55,no_action,False
AALA202504283890,0.65,no_action,False
AALA202502144728,0.3,no_action,False
DALA2025032502207,0.65,no_action,False
DALA2025031201920,0.65,no_action,False
AALA202504075687,0.5,no_action,False
VNAA202504160021,0.65,no_action,False
SWIA2025112376458,0.65,no_action,False
AALA202506065484,0.5,no_action,False
AALA202503193804,0.5,no_action,False
AALA202506103969,0.4,no_action,False
AALA202511069870,0.3,no_action,False
VNAA202504170089,0.5,no_action,False
SWIA2025112076487,0.65,no_action,False
AALA202506191639,0.5,no_action,False
AALA202501182636,0.3,no_action,False
AALA202504282915,0.3,no_action,False
VNAA202504170096,0.3,no_action,False
AALA202510203273,0.3,no_action,False
AALA202601153081,0.3,no_action,False
VNAA202504170094,0.65,no_action,False
AALA202503058342,0.3,no_action,False
AALA202511057486,0.4,no_action,False
AALA202509093761,0.5,no_action,False
AALA202512094765,0.5,no_action,False
SWIA2025112476577,0.65,no_action,False
AALA202501188527,0.15,no_action,False
AALA202510078254,0.65,no_action,False
AALA202508291520,0.4,no_action,False
